id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
7000001,7000001,1-Jan-27,15,tab,1,Alfacidol 0.25,20,1,,10,30
7000002,7000002,1-Jan-27,15,tab,1,Alfacidol 1.00,20,1,,10,30
7000003,7000003,1-Jan-27,10,tab,2,Amitriptyline 25 10tab,20,2,,10,30
7000004,7000004,1-Jan-27,5,tab,1,concor 10 egy,20,1,,10,30
7000005,7000005,1-Jan-27,17.2,cap,25,Decongex,20,1.875,,10,30
7000006,7000006,1-Jan-27,35,tab,1.75,rennie,20,1,,10,30
7000007,7000007,1-Jan-27,15,tab,1,erastapex trio 40/5/12.5,20,1,,10,30
7000008,7000008,1-Jan-27,60,tab,4.667,Etorican 90,20,0.11,,10,30
7000009,7000009,1-Jan-27,29,tab,0.666,eucarbon tab,20,0.336,,10,30
7000010,7000010,1-Jan-27,9.6,tab,2,emestop tab,20,0.5,,10,30
7000011,7000011,1-Jan-27,1.34,tab,288,Erec,20,3,,10,30
7000012,7000012,1-Jan-27,5,tab,10,gastrodomina 40mg,20,2.3333,,10,30
7000013,7000013,1-Jan-27,0.6,tab,92,imipramin25mg,20,4,,10,30
7000014,7000014,1-Mar-26,8.5,syr,1,Amoxicillin 250mg/5ml,15,2,,10,25
7000015,7000015,15-Dec-26,45,cap,0.5,Omeprazole 20mg,30,3,,10,40
7000016,7000016,20-May-27,12.75,tab,3,Paracetamol 500mg,50,5,,10,8.5
7000017,7000017,10-Feb-26,22.3,cream,1,Clotrimazole 1%,10,1,,10,15
7000018,7000018,1-Jun-27,7.2,syr,2,Sodium Chloride 0.9%,25,2,,10,5
7000019,7000019,30-Aug-26,99.99,inh,0.3,Salbutamol 100mcg,8,1,,10,70
7000020,7000020,5-Jan-27,3.45,tab,50,Aspirin 75mg,100,10,,10,2.3
7000021,7000021,12-Dec-26,18.6,cap,2,Doxycycline 100mg,22,2,,10,13
7000022,7000022,1-Jan-27,42,tab,1,Losartan 50mg,18,2,,10,30
7000023,7000023,1-Jan-27,9.9,tab,4,Metformin 850mg,35,4,,10,6.6
7000024,7000024,1-Jan-27,27.5,cap,1.2,Cephalexin 500mg,12,1,,10,19
7000025,7000025,1-Jan-27,14,tab,7,Bisoprolol 5mg,28,3,,10,9.3
7000026,7000026,1-Jan-27,33.3,soln,0.75,Betadine 10%,40,5,,10,22.2
7000027,7000027,1-Jan-27,5.5,tab,20,Furosemide 40mg,60,8,,10,3.6
7000028,7000028,1-Jan-27,62,inj,0.1,Diazepam 10mg/2ml,5,1,,10,45
7000029,7000029,1-Jan-27,8.25,tab,6,Diclofenac 50mg,45,5,,10,5.5
7000030,7000030,1-Jan-27,19.99,cap,3,Lansoprazole 30mg,20,2,,10,14
7000031,7000031,1-Jan-27,2.2,tab,100,Hydrochlorothiazide 25mg,200,15,,10,1.5
7000032,7000032,1-Jan-27,11.3,syr,1,Prednisolone 15mg/5ml,14,1,,10,7.8
7000033,7000033,1-Jan-27,74.5,tab,0.5,Atorvastatin 40mg,9,1,,10,55
7000034,7000034,1-Jan-27,4.8,tab,30,Cetirizine 10mg,80,10,,10,3.2
7000035,7000035,1-Jan-27,36.25,cap,1.5,Azithromycin 500mg,11,1,,10,25
7000036,7000036,1-Jan-27,6.7,tab,15,Propranolol 40mg,55,6,,10,4.5
7000037,7000037,1-Jan-27,13.4,cream,0.5,Miconazole 2%,18,2,,10,9
7000038,7000038,1-Jan-27,29.9,tab,2,Clopidogrel 75mg,24,2,,10,20
7000039,7000039,1-Jan-27,1.99,tab,200,Nitroglycerin 0.5mg,500,30,,10,1.3
7000040,7000040,1-Jan-27,55.5,cap,0.8,Rifampicin 300mg,7,1,,10,40
7000041,7000041,1-Jan-27,7.45,tab,10,Sertraline 50mg,32,3,,10,5
7000042,7000042,1-Jan-27,41.2,syr,0.25,Cough Syrup DM,16,1,,10,28
7000043,7000043,1-Jan-27,3.3,tab,40,Tramadol 50mg,70,7,,10,2.2
7000044,7000044,1-Jan-27,88,cap,0.2,Sofosbuvir 400mg,3,0.5,,10,65
7000045,7000045,1-Jan-27,16.8,tab,5,Carvedilol 6.25mg,26,2,,10,11.2
7000046,7000046,1-Jan-27,9.25,soln,1,Chlorhexidine 0.2%,30,3,,10,6.2
7000047,7000047,1-Jan-27,23.4,tab,2.5,Levofloxacin 500mg,19,1,,10,16
7000048,7000048,1-Jan-27,5.99,tab,25,Carbamazepine 200mg,42,4,,10,4
7000049,7000049,1-Jan-27,67.3,inh,0.05,Budesonide 200mcg,6,1,,10,50
7000050,7000050,1-Jan-27,1.75,tab,500,Potassium Chloride 600mg,1000,50,,10,1.2
7000051,7000051,1-Jan-27,14.5,cap,4,Minocycline 100mg,23,2,,10,9.8
7000052,7000052,1-Jan-27,38.9,tab,0.9,Spironolactone 25mg,13,1,,10,27
7000053,7000053,1-Jan-27,8.4,cream,1.2,Hydrocortisone 1%,21,2,,10,5.6
7000054,7000054,1-Jan-27,2.5,tab,60,Diphenhydramine 25mg,90,8,,10,1.7
7000055,7000055,1-Jan-27,46.75,cap,0.4,Valacyclovir 500mg,8,1,,10,33
7000056,7000056,1-Jan-27,31.2,syr,0.5,Ondansetron 4mg/5ml,12,1,,10,22
7000057,7000057,1-Jan-27,6.25,tab,12,Pregabalin 75mg,34,3,,10,4.2
7000058,7000058,1-Jan-27,19.3,tab,3,Fluoxetine 20mg,28,2,,10,13
7000059,7000059,1-Jan-27,53.1,cap,0.6,Clindamycin 300mg,10,1,,10,38
7000060,7000060,1-Jan-27,11.99,tab,8,Mebeverine 135mg,37,4,,10,8
7000061,7000061,1-Jan-27,4.2,tab,45,Allopurinol 100mg,75,6,,10,2.8
7000062,7000062,1-Jan-27,27.4,soln,1,Sodium Bicarbonate 8.4%,15,1,,10,19
7000063,7000063,1-Jan-27,34.8,tab,1.25,Eplerenone 25mg,11,1,,10,24
7000064,7000064,1-Jan-27,7.8,cap,9,Itraconazole 100mg,27,2,,10,5.2
7000065,7000065,1-Jan-27,2.85,tab,80,Indapamide 2.5mg,110,12,,10,1.9
7000066,7000066,1-Jan-27,63.4,inh,0.08,Tiotropium 18mcg,4,0.5,,10,48
7000067,7000067,1-Jan-27,15.6,cream,0.75,Triamcinolone 0.1%,17,1,,10,10.4
7000068,7000068,1-Jan-27,5.3,tab,18,Glimepiride 2mg,41,4,,10,3.5
7000069,7000069,1-Jan-27,44.5,cap,0.45,Moxifloxacin 400mg,9,1,,10,32
7000070,7000070,1-Jan-27,9.1,tab,14,Betahistine 16mg,33,3,,10,6
7000071,7000071,1-Jan-27,21.7,syr,0.8,Loratadine 5mg/5ml,19,2,,10,14.5
7000072,7000072,1-Jan-27,3.99,tab,35,Tizanidine 2mg,52,5,,10,2.7
