id,barcode,expirationDate,price,category,quantity,name,stock,minStock,img,profitMargin,costPrice
1,6.223E+12,10/1/28,10,cream,,Adapalene0.1% gel 30 gr,3.00,1.00,,30,
2,6.223E+12,10/1/28,10.833,emulgel,,ADWIFLAM EMUIGEL 50GM,3.00,1.00,,30,
3,6.22104E+12,5/1/29,17.1,eff powd,,Agiolax Eff Powder,3.00,1.00,,30,
4,,,20,Tab,,Alexamol k 20 tab ,0.00,1.00,,30,
5,6.221E+12,9/1/26,21,tab,,ALKAPRESS TRIO 5/160/12.5    14 tab,2.00,1.00,,30,
6,6.221E+11,4/1/27,27,Tab,,ALKAPRESS  plus  10/160 mg 20,3.50,1.00,,30,
7,6.221E+11,9/1/27,25,Tab,,ALKAPRESS  plus  5/160mg   14,5.00,1.00,,30,
8,,,9,syrup,,ALLVENT SYR 125ML,0.00,1.00,,30,
9,6.224E+12,9/1/28,15,eye drop,,Alphanova,3.00,1.00,,30,
10,6.22103E+12,7/1/27,13,tab,,Alphintern 30 tab.,1.67,1.00,,30,
11,6.223E+12,1/1/28,15,tab,,AMARYL 2 MG 30TAB,3.00,1.00,,30,
12,6.223E+12,4/1/28,21,tab,,AMARYL 3 MG 30TAB,3.00,1.00,,30,
13,6.223E+12,5/1/28,25,tab,,AMARYL 4MG 30TAB,3.00,1.00,,30,
14,6.22106E+12,1/1/28,13.5,tab,,AMIGRAN ADCO 30TAB,5.20,1.00,,30,
15,1.05666E+13,9/1/28,11,tab,,Anafronil 25 Mg 30 Tab,9.37,1.00,,30,
16,,,15,tab,,ANALLERGE 4MG 60TAB,0.00,1.00,,30,
17,,,16,tab,,Anselacox 120Mg 10 Tab (Etoricoxib),0.00,1.00,,30,
18,6.223E+12,10/25/28,15,Tab,,Anticox 15mg tab 30tab,3.00,1.00,,30,
19,1.06037E+13,7/1/27,17,tab,,Anafronil Sr 75 Mg 20 F.C.Tab,4.57,1.00,,30,
20,,,10.5,tab,,Anti flu cap,0.00,1.00,,30,
21,6.22103E+12,7/1/28,12,tab,,ANTINAL 24 CAP,2.00,1.00,,30,
22,6.22103E+12,9/1/27,7,syrup,,Apidone syrup,3.00,1.00,,30,
23,,,25,cosmatic,,argan hair oil,0.00,1.00,,30,
24,,,39.04,tab,,arthrefree,0.00,1.00,,30,
25,6.22401E+12,7/1/28,37.5,tab,,Arthre free tab 30 tab new,5.00,1.00,,30,
26,,,19,cap,,Arythrex 200mg 20cap celecoxib,0.00,1.00,,30,
27,6.22301E+12,9/1/27,30,tab,,Asmakast 10mg 30tab,2.00,1.00,,30,
28,6.223E+12,1/1/28,17,tab,,Atacand 16  14tab,2.00,1.00,,30,
29,6.223E+12,1/1/28,17,tab,,Atacand 8  28tab,2.00,1.00,,30,
30,6.222E+12,10/1/27,28,tab,,Attensera 18mg,1.00,1.00,,30,
31,6.222E+12,10/1/27,30,tab,,Attensera 25mg,1.00,1.00,,30,
32,,,17,syrup,,AUGMENTINE 312 ML SY,1.00,1.00,,30,
33,,,20,syrup,,AUGMENTINE ES 600ML SY,2.00,1.00,,30,
34,6.223E+12,2/1/27,10,tab,,Augram 1gm 7tab,3.00,1.00,,30,
35,,,14,syrup,,Augram 457mg/5ml 60ml susp,0.00,1.00,,30,
36,,,16,syrup,,AUGRAM 642MG/5ML 60ML,2.00,1.00,,30,
37,3.6648E+12,1/1/28,71.7,tab,,Avara 20mg,1.00,1.00,,30,
38,6.221E+12,8/1/28,19,spray,,Azilast plus nasal spray,1.00,1.00,,30,
39,6.22103E+12,1/1/27,5.1,eye drop,,Benox,3.00,1.00,,30,
40,6.22103E+12,1/1/29,5,Cream ,,Betaderm cream 15g,18.00,1.00,,30,
41,6.22108E+12,8/1/28,7,Solution,,BETADINE 60ml antiseptic solution,3.00,1.00,,30,
42,6.22103E+12,7/1/27,11,amp,,Betafos 2ml amp,8.00,1.00,,30,
43,8.00266E+12,11/1/27,32.76,tab,,betaserc 16,3.75,1.00,,30,
44,6.22201E+12,8/1/28,10,tab,,BI ALCOFAN 150 30tab,5.10,1.00,,30,
45,6.22109E+12,8/25/28,15,tab,,BIKETOGESIC 150MG 30TAB,1.33,1.00,,30,
46,6.22401E+12,5/1/27,25,Tab,,BIOLEGAM 60-1000 MG 8TAB,2.50,1.00,,30,
47,6.22301E+12,7/1/27,15,tab,,BIOTICAFLOX 500mg 7tab levofoxacin,7.00,1.00,,30,
48,6.22301E+12,8/1/27,18,tab,,BIOTICAFLOX 750 7tab levofloxacin,2.00,1.00,,30,
49,6.22151E+12,4/1/27,7,amp,,BIOVIT 12    2AMP,3.00,1.00,,30,
50,0,0,87.5,tab,,"Bispyller 120Tab (Bismuth subcitrate pota., Metronidazol, Tetracycline)",0.00,1.00,,30,
51,6.223E+12,9/1/28,15,cream,,BORGASONE CREAM,1.00,1.00,,30,
52,6.223E+12,7/1/27,10,cream,,BORGASONE TRIO CREAM,2.00,1.00,,30,
53,,,,,,,0.00,1.00,,30,
54,,,13.1,tab,,buscopan tab 20tab,0.00,1.00,,30,
55,6.22401E+12,8/1/28,30,tab,,CALDIN C 30TAB,0.33,1.00,,30,
56,,,17.5,syrup,,Cal-Mag Forte Syrup 120 Ml,6.00,1.00,,30,
57,0,10/1/27,9,cream,,carbamid cream 10grm,3.00,1.00,,30,
58,6.223E+12,7/1/27,11,tab,,cataflam  20tab,1.50,1.00,,30,
59,,,15,syrup,,cefathird 125 syru,0.00,1.00,,30,
60,6.223E+12,5/25/28,20,cap,,cefathird 300mg,1.00,1.00,,30,
61,6.22105E+12,6/1/28,11,tab,,CEPOREX 1G 8tab ,2.00,1.00,,30,
62,6.22104E+12,5/1/28,9,eff ,,CEVAMOL EFF ,2.00,1.00,,30,
63,6.22104E+12,6/1/28,24,tab,,CIDAMEX 250MG 20TAB,3.00,1.00,,30,
64,6.22301E+12,1/1/28,14,tab,,Cipazole Fort 1 Gm 2 Tab (Secinidazole),2.00,1.00,,30,
65,6.22105E+12,9/1/27,9,tab,,CIPRO 500MG 10TAB,3.00,1.00,,30,
66,6.223E+12,7/1/28,25.7,Tab,,clarikan SR 500 14tab,2.00,1.00,,30,
67,6.22109E+12,1/25/28,14.42, cap,,Clindam 300,1.50,1.00,,30,
68,6.224E+12,9/1/27,8.33,eye drop,,Co Avazir eye drop,4.00,1.00,,30,
69,,,8.125,solution,,Collomak Solution 10ML,,1.00,,30,
70,5.01262E+12,11/1/26,0,tab,,Clopidogrel 75mg 28tab,1.00,1.00,,30,
71,6.223E+12,7/1/26,0,tab,,Cordarone 200mg (amiodarone 200) 30 tab,1.00,1.00,,30,
72,6.22401E+12,3/1/27,0,tab,,Cardivo-care 10/6.25 mg 30tab,1.33,1.00,,30,
73,,,9,tab,,COLOSPASMIN 135MG 20tab,5.00,1.00,,30,
74,6.222E+12,10/1/28,14,tab,,colovital 30 tab,2.00,1.00,,30,
75,6.22103E+12,11/1/29,12,tab,,Concor 5mg 30tab,2.67,1.00,,30,
76,,,8,tab,,Congestal 20Tab. Syr,5.25,1.00,,30,
77,,,9,Syrup,,Congestal cold and cough syrup,1.00,1.00,,30,
78,,,8,Syrup,,CONTAVIVER Syrup,1.00,1.00,,30,
79,6.223E+12,10/1/28,18.18,emulgel,,contractubrx,10.00,1.00,,30,
80,0,3/1/26,0,tab,,CARDIOSAFE 5 (BISOPROLOL 5) 30TAB,0.34,1.00,,30,
81,6.22103E+12,1/1/28,12,tab,,CORASOR 150MG,1.00,1.00,,30,
82,6.8057E+12,1/1/28,12,cream,,COREGA denture fixative cr 20g,2.00,1.00,,30,
83,,,10,amp,,coritplex b6 pediatric 3amp,3.00,1.00,,30,
84,6.223E+12,6/1/27,38,tab,,Co-Tareg 160/12.5 28tab,3.00,1.00,,30,
85,6.223E+12,10/1/27,16.4,tab,,Co-tareg 80/12.5mg 14tab,7.00,1.00,,30,
